Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
6 trigger=Don---|Pe_. [reward] curr=1.82 best=1.82
7 trigger=Don---|Pe_. [reward] curr=2.02 best=1.82
8 trigger=Don---|loy_. [reward] curr=1.74 best=1.74
9 trigger=Don---|loy/** [reward] curr=0.33 best=0.33
10 trigger=Don---|loy/** [reward] curr=0.73 best=0.33
11 trigger=Don---|loy/** [reward] curr=1.78 best=0.33
12 trigger=Don---|loy/** [reward] curr=1.12 best=0.33
13 trigger=Don---|loy/** [reward] curr=1.78 best=0.33
14 trigger=Don---|loy/** [reward] curr=1.84 best=0.33
15 trigger=Don---|loy/** [reward] curr=0.42 best=0.33
16 trigger=Don---|loy/** [reward] curr=0.93 best=0.33
17 trigger=Don---|---/** [reward] curr=0.25 best=0.25
18 trigger=Don---|---/** [reward] curr=1.14 best=0.25
19 trigger=Don---|---/** [reward] curr=1.14 best=0.25
[dets trigger] Don---|---/**	 (3872,5634,29989,5634,7918)
20 trigger=Don---|---/** [reward] curr=0.25 best=0.25
21 trigger=Don---|---/** [reward] curr=1.34 best=0.25
22 trigger=Don---|---/** [reward] curr=1.87 best=0.25
23 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
24 trigger=Don---|Pe/** [reward] curr=1.25 best=0.02
25 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
26 trigger=Don---|Pe/** [reward] curr=0.19 best=0.02
27 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
28 trigger=Don---|Pe/** [reward] curr=1.27 best=0.02
29 trigger=Don---|Pe/** [reward] curr=0.94 best=0.02
30 trigger=Don---|Pe/** [reward] curr=1.65 best=0.02
31 trigger=Don---|Pe/** [reward] curr=1.25 best=0.02
32 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
33 trigger=Don---|Pe/** [reward] curr=0.94 best=0.02
34 trigger=Don---|Pe/** [reward] curr=0.80 best=0.02
35 trigger=Don---|Pe/** [reward] curr=0.96 best=0.02
36 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
37 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
